ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Proto-Panoan-1_tomaketokill-1-1,Proto-Panoan-1_tomaketokill-1,ʔak-,1,false,expert,Oliveira2014,,,
Kakataibo-1_tomaketokill-1-1,Kakataibo-1_tomaketokill-1,ʔa-,1,false,expert,,,,
ShipiboKonibo-1_tomaketokill-1-1,ShipiboKonibo-1_tomaketokill-1,ʔa-,1,false,expert,,,,
Kapanawa-1_tomaketokill-1-1,Kapanawa-1_tomaketokill-1,ʔa-,1,false,expert,,,,
Marubo-1_tomaketokill-1-1,Marubo-1_tomaketokill-1,a-,1,false,expert,,,,
Chakobo-1_tomaketokill-1-1,Chakobo-1_tomaketokill-1,ʔa-,1,false,expert,,,,
Kaxarari-1_tomaketokill-1-1,Kaxarari-1_tomaketokill-1,a-,1,false,expert,,,,
Yaminawa-1_tomaketokill-1-1,Yaminawa-1_tomaketokill-1,ak-,1,false,expert,,,,
Chaninawa-1_tomaketokill-1-1,Chaninawa-1_tomaketokill-1,a-,1,false,expert,,,,
Sharanawa-1_tomaketokill-1-1,Sharanawa-1_tomaketokill-1,a-,1,false,expert,,,,
Amawaka-1_tomaketokill-1-1,Amawaka-1_tomaketokill-1,ʔa-,1,false,expert,Sparing2012,,,
Kaxinawa-1_tomaketokill-1-1,Kaxinawa-1_tomaketokill-1,a-,1,false,expert,,,,
Marinawa-1_tomaketokill-1-1,Marinawa-1_tomaketokill-1,a-,1,false,expert,,,,
Korubo-1_tomaketokill-1-1,Korubo-1_tomaketokill-1,ak-,1,false,expert,,,,
Matis-1_tomaketokill-1-1,Matis-1_tomaketokill-1,ak-,1,false,expert,,,,
Mayoruna-1_tomaketokill-1-1,Mayoruna-1_tomaketokill-1,ak-,1,false,expert,,,,
Proto-Panoan-2_manioccassava-1-1,Proto-Panoan-2_manioccassava-1,ʔatsa,114,false,expert,Oliveira2014,,,
Kakataibo-2_manioccassava-1-1,Kakataibo-2_manioccassava-1,ʔatsa,114,false,expert,,,,
ShipiboKonibo-2_manioccassava-1-1,ShipiboKonibo-2_manioccassava-1,ʔatsa,114,false,expert,,,,
Kapanawa-2_manioccassava-1-1,Kapanawa-2_manioccassava-1,ʔatsa,114,false,expert,Loos1998,,,
Marubo-2_manioccassava-1-1,Marubo-2_manioccassava-1,atsa,114,false,expert,,,,
Chakobo-2_manioccassava-1-1,Chakobo-2_manioccassava-1,ʔatsa,114,false,expert,,,,
Chaninawa-2_manioccassava-1-1,Chaninawa-2_manioccassava-1,atsa,114,false,expert,,,,
Shanenawa-2_manioccassava-1-1,Shanenawa-2_manioccassava-1,atsa,114,false,expert,,,,
Katukina-2_manioccassava-1-1,Katukina-2_manioccassava-1,atsa,114,false,expert,,,,
Poyanawa-2_manioccassava-1-1,Poyanawa-2_manioccassava-1,atsa,114,false,expert,,,,
Amawaka-2_manioccassava-1-1,Amawaka-2_manioccassava-1,ʔatsa,114,false,expert,Sparing2012,,,
Amawaka-2_manioccassava-2-1,Amawaka-2_manioccassava-2,Atsa_I,114,false,expert,,,,
Kaxinawa-2_manioccassava-1-1,Kaxinawa-2_manioccassava-1,atsa,114,false,expert,,,,
Marinawa-2_manioccassava-1-1,Marinawa-2_manioccassava-1,atsa,114,false,expert,,,,
Yawanawa-2_manioccassava-1-1,Yawanawa-2_manioccassava-1,atsa,114,false,expert,,,,
Korubo-2_manioccassava-1-1,Korubo-2_manioccassava-1,Atsa,114,false,expert,,,,
Matis-2_manioccassava-1-1,Matis-2_manioccassava-1,Atsa,114,false,expert,,,,
Proto-Panoan-3_cabybara-1-1,Proto-Panoan-3_cabybara-1,ʔamɨ[n],226,false,expert,Oliveira2014,,,
Kakataibo-3_cabybara-1-1,Kakataibo-3_cabybara-1,ʔaˈmɨ̃,226,false,expert,,,,
ShipiboKonibo-3_cabybara-1-1,ShipiboKonibo-3_cabybara-1,ʔaˈmɨ̃,226,false,expert,,,,
Kapanawa-3_cabybara-1-1,Kapanawa-3_cabybara-1,ʔaˈmɨn,226,false,expert,,,,
Marubo-3_cabybara-1-1,Marubo-3_cabybara-1,amɨ,226,false,expert,,,,
Chakobo-3_cabybara-1-1,Chakobo-3_cabybara-1,amɨno,226,false,expert,,,,
Chakobo-3_cabybara-2-1,Chakobo-3_cabybara-2,amɨ,226,false,expert,,,,
Sharanawa-3_cabybara-1-1,Sharanawa-3_cabybara-1,amɨn,226,false,expert,,,,
Shanenawa-3_cabybara-1-1,Shanenawa-3_cabybara-1,aman,226,false,expert,,,,
Katukina-3_cabybara-1-1,Katukina-3_cabybara-1,amɨn,226,false,expert,,,,
Amawaka-3_cabybara-1-1,Amawaka-3_cabybara-1,ʔamɨn,226,false,expert,Hyde1980,,,
Kaxinawa-3_cabybara-1-1,Kaxinawa-3_cabybara-1,amɨ̃,226,false,expert,,,,
Marinawa-3_cabybara-1-1,Marinawa-3_cabybara-1,ˈamɨ̃,226,false,expert,,,,
Marinawa-3_cabybara-2-1,Marinawa-3_cabybara-2,ˈʔamɨno,226,false,expert,,,,
Yawanawa-3_cabybara-1-1,Yawanawa-3_cabybara-1,aman,226,false,expert,,,,
Proto-Panoan-13_big-1-1,Proto-Panoan-13_big-1,ʔani,336,false,expert,Oliveira2014,,,
Kakataibo-3_cabybara-2-1,Kakataibo-3_cabybara-2,ʔani,336,false,expert,Zariquiey2011,,,
ShipiboKonibo-13_big-1-1,ShipiboKonibo-13_big-1,ʔani,336,false,expert,,,,
Kapanawa-13_big-1-1,Kapanawa-13_big-1,ʔani,336,false,expert,,,,
Kapanawa-13_big-2-1,Kapanawa-13_big-2,wɨˈan_ʔani,336,false,expert,,,,
Marubo-13_big-1-1,Marubo-13_big-1,ˈɐ̃ni-,336,false,expert,Costa1992,,,
Chakobo-13_big-1-1,Chakobo-13_big-1,ʔani_hɨnɨ,336,false,expert,,,,
Chakobo-13_big-2-1,Chakobo-13_big-2,ani-,336,false,expert,Zingg1998,,,
Kaxarari-13_big-1-1,Kaxarari-13_big-1,lakiɦaˈi,336,false,expert,,,,
Sharanawa-13_big-1-1,Sharanawa-13_big-1,aniɸo,336,false,expert,,,,
Sharanawa-13_big-2-1,Sharanawa-13_big-2,aniɸoan,336,false,expert,,,,
Shanenawa-13_big-1-1,Shanenawa-13_big-1,anihu,336,false,expert,,,,
Katukina-13_big-1-1,Katukina-13_big-1,ani-pa,336,false,expert,,,,
Poyanawa-13_big-1-1,Poyanawa-13_big-1,ãdiβu,336,false,expert,,,,
Kaxinawa-13_big-1-1,Kaxinawa-13_big-1,anibu,336,false,expert,,,,
Yawanawa-416_old-1-1,Yawanawa-416_old-1,ani-hu,336,false,expert,,,,
Korubo-430_small-1-1,Korubo-430_small-1,animatsɨk,336,false,expert,,,,
Mayoruna-13_big-1-1,Mayoruna-13_big-1,ania,336,false,expert,,,,
Proto-Panoan-1040_paca-1-1,Proto-Panoan-1040_paca-1,ʔano,448,false,expert,Oliveira2014,,,
Kakataibo-1040_paca-1-1,Kakataibo-1040_paca-1,ʔano,448,false,expert,,,,
ShipiboKonibo-1040_paca-1-1,ShipiboKonibo-1040_paca-1,ʔano,448,false,expert,,,,
Kapanawa-1040_paca-1-1,Kapanawa-1040_paca-1,ʔano,448,false,expert,,,,
Chakobo-1040_paca-1-1,Chakobo-1040_paca-1,ʔano,448,false,expert,Zingg1998,,,
Kaxarari-1040_paca-1-1,Kaxarari-1040_paca-1,anawɨ,448,false,expert,,,,
Yaminawa-1040_paca-1-1,Yaminawa-1040_paca-1,ano,448,false,expert,,,,
Yaminawa-1040_paca-2-1,Yaminawa-1040_paca-2,anõ,448,false,expert,,,,
Sharanawa-1040_paca-1-1,Sharanawa-1040_paca-1,ano,448,false,expert,,,,
Sharanawa-1040_paca-2-1,Sharanawa-1040_paca-2,anon,448,false,expert,,,,
Shanenawa-1040_paca-1-1,Shanenawa-1040_paca-1,anu,448,false,expert,,,,
Katukina-1040_paca-1-1,Katukina-1040_paca-1,ano,448,false,expert,,,,
Amawaka-1040_paca-1-1,Amawaka-1040_paca-1,ʔanó,448,false,expert,Hyde1980,,,
Amawaka-1040_paca-2-1,Amawaka-1040_paca-2,aˈno_I,448,false,expert,,,,
Kaxinawa-1040_paca-1-1,Kaxinawa-1040_paca-1,anu,448,false,expert,,,,
Marinawa-1040_paca-1-1,Marinawa-1040_paca-1,ano,448,false,expert,,,,
Yawanawa-1040_paca-1-1,Yawanawa-1040_paca-1,anu,448,false,expert,,,,
Proto-Panoan-6_intransitivesuffixofconcordance-1-1,Proto-Panoan-6_intransitivesuffixofconcordance-1,-ʔaʂ,473,false,expert,Oliveira2014,,,
Kakataibo-6_intransitivesuffixofconcordance-1-1,Kakataibo-6_intransitivesuffixofconcordance-1,-aʂ,473,false,expert,,,,
ShipiboKonibo-6_intransitivesuffixofconcordance-1-1,ShipiboKonibo-6_intransitivesuffixofconcordance-1,-aʂ,473,false,expert,,,,
Kapanawa-6_intransitivesuffixofconcordance-1-1,Kapanawa-6_intransitivesuffixofconcordance-1,-ʔaʂ,473,false,expert,,,,
Chakobo-6_intransitivesuffixofconcordance-1-1,Chakobo-6_intransitivesuffixofconcordance-1,-ʔaʂ,473,false,expert,,,,
Amawaka-6_intransitivesuffixofconcordance-1-1,Amawaka-6_intransitivesuffixofconcordance-1,ʔax,473,false,expert,,,,
Kaxinawa-6_intransitivesuffixofconcordance-1-1,Kaxinawa-6_intransitivesuffixofconcordance-1,-a,473,false,expert,,,,
Marinawa-6_intransitivesuffixofconcordance-1-1,Marinawa-6_intransitivesuffixofconcordance-1,-aʂɨ,473,false,expert,,,,
Proto-Panoan-7_typeofvenom-1-1,Proto-Panoan-7_typeofvenom-1,ʔaʂ[an]-,484,false,expert,Oliveira2014,,,
Kakataibo-7_typeofvenom-1-1,Kakataibo-7_typeofvenom-1,ʔaˈʂã-,484,false,expert,,,,
ShipiboKonibo-7_typeofvenom-1-1,ShipiboKonibo-7_typeofvenom-1,ʔaˈʂã-,484,false,expert,,,,
Kapanawa-7_typeofvenom-1-1,Kapanawa-7_typeofvenom-1,ʔaˈʂan-,484,false,expert,,,,
Chakobo-7_typeofvenom-1-1,Chakobo-7_typeofvenom-1,ʔaʂa-,484,false,expert,,,,
Yaminawa-7_typeofvenom-1-1,Yaminawa-7_typeofvenom-1,aʂã-,484,false,expert,Faust2002,,,
Sharanawa-7_typeofvenom-1-1,Sharanawa-7_typeofvenom-1,aʂain,484,false,expert,,,,
Sharanawa-7_typeofvenom-2-1,Sharanawa-7_typeofvenom-2,aʂaan,484,false,expert,,,,
Amawaka-7_typeofvenom-1-1,Amawaka-7_typeofvenom-1,ʔaxã-_I,484,false,expert,,,,
Kaxinawa-7_typeofvenom-1-1,Kaxinawa-7_typeofvenom-1,aʂa-,484,false,expert,,,,
Kaxinawa-7_typeofvenom-2-1,Kaxinawa-7_typeofvenom-2,aʂã-,484,false,expert,,,,
Marinawa-7_typeofvenom-1-1,Marinawa-7_typeofvenom-1,ˈaʂã-,484,false,expert,,,,
Yawanawa-7_typeofvenom-1-1,Yawanawa-7_typeofvenom-1,aʃan,484,false,expert,,,,
Matis-7_typeofvenom-1-1,Matis-7_typeofvenom-1,aʂ-kin,484,false,expert,,,,
Proto-Panoan-26_tapir-1-1,Proto-Panoan-26_tapir-1,ʔawaɽ,495,false,expert,Oliveira2014,,,
Kakataibo-26_tapir-1-1,Kakataibo-26_tapir-1,ʔɔˈɔ,495,false,expert,,,,
ShipiboKonibo-26_tapir-1-1,ShipiboKonibo-26_tapir-1,ʔaˈwa,495,false,expert,,,,
ShipiboKonibo-26_tapir-2-1,ShipiboKonibo-26_tapir-2,ʔawarã_piti,495,false,expert,,,,
Kapanawa-26_tapir-1-1,Kapanawa-26_tapir-1,ʔaˈɯa,495,false,expert,,,,
Marubo-26_tapir-1-1,Marubo-26_tapir-1,awa,495,false,expert,,,,
Chakobo-26_tapir-1-1,Chakobo-26_tapir-1,ʔáwara,495,false,expert,,,,
Chakobo-26_tapir-2-1,Chakobo-26_tapir-2,awá,495,false,expert,Zingg1998,,,
Kaxarari-26_tapir-1-1,Kaxarari-26_tapir-1,[awaˈtʃa],495,false,expert,,,,
Yaminawa-26_tapir-1-1,Yaminawa-26_tapir-1,aɸa,495,false,expert,Faust2002,,,
Sharanawa-26_tapir-1-1,Sharanawa-26_tapir-1,awa,495,false,expert,,,,
