ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment,Morphemes,UncertainCognacy,ConceptInSource,ProtoSet,EntryInSource,GroupedSounds
Proto-Panoan-0_fazermatar-1,,Proto-Panoan,0_fazermatar,ʔak-,ʔak-,ʔ a k,None,Oliveira2014,1,,,,ʔ a k,[],None,,§1,*ʔak- ‘fazer;;  matar’,"['ʔ', 'a', 'k']"
Kakataibo-0_fazermatar-1,,Kakataibo,0_fazermatar,ʔa-,ʔa-,ʔ a,None,Oliveira2014,1,,,,ʔ a -,[],None,,§1,Ksh ʔa-,"['ʔ', 'a']"
ShipiboKonibo-0_fazermatar-1,,ShipiboKonibo,0_fazermatar,ʔa-,ʔa-,ʔ a,None,Oliveira2014,1,,,,ʔ a -,[],None,,§1,SK ʔa-,"['ʔ', 'a']"
Kapanawa-0_fazermatar-1,,Kapanawa,0_fazermatar,ʔa-,ʔa-,ʔ a,None,Oliveira2014,1,,,,ʔ a -,[],None,,§1,Kp ʔa-,"['ʔ', 'a']"
Marubo-0_fazermatar-1,,Marubo,0_fazermatar,a-,a-,a,None,Oliveira2014,1,,,,- a -,[],None,,§1,Mar a-,['a']
Chakobo-0_fazermatar-1,,Chakobo,0_fazermatar,ʔa-,ʔa-,ʔ a,None,Oliveira2014,1,,,,ʔ a -,[],None,,§1,Ch ʔa-,"['ʔ', 'a']"
Kaxarari-0_fazermatar-1,,Kaxarari,0_fazermatar,a-,a-,a,None,Oliveira2014,1,,,,- a -,[],None,,§1,Kax a-,['a']
Yaminawa-0_fazermatar-1,,Yaminawa,0_fazermatar,ak-,ak-,a k,None,Oliveira2014,1,,,,- a k,[],None,,§1,Yam ak-,"['a', 'k']"
Chaninawa-0_fazermatar-1,,Chaninawa,0_fazermatar,a-,a-,a,None,Oliveira2014,1,,,,- a -,[],None,,§1,Chan a-,['a']
Sharanawa-0_fazermatar-1,,Sharanawa,0_fazermatar,a-,a-,a,None,Oliveira2014,1,,,,- a -,[],None,,§1,Shar a-,['a']
Amawaka-0_fazermatar-1,,Amawaka,0_fazermatar,ʔa-,ʔa-,ʔ a,None,Sparing2012,1,,,,ʔ a -,[],None,,§1,A ʔa- (CHÁVEZ;; 2012),"['ʔ', 'a']"
Kaxinawa-0_fazermatar-1,,Kaxinawa,0_fazermatar,a-,a-,a,None,Oliveira2014,1,,,,- a -,[],None,,§1,Kn a-,['a']
Marinawa-0_fazermatar-1,,Marinawa,0_fazermatar,a-,a-,a,None,Oliveira2014,1,,,,- a -,[],None,,§1,M a-,['a']
Korubo-0_fazermatar-1,,Korubo,0_fazermatar,ak-,ak-,a k,None,Oliveira2014,1,,,,- a k,[],None,,§1,Ko ak-,"['a', 'k']"
Matis-0_fazermatar-1,,Matis,0_fazermatar,ak-,ak-,a k,None,Oliveira2014,1,,,,- a k,[],None,,§1,Mt ak-,"['a', 'k']"
Mayoruna-0_fazermatar-1,,Mayoruna,0_fazermatar,ak-,ak-,a k,None,Oliveira2014,1,,,,- a k,[],None,,§1,My ak-,"['a', 'k']"
Proto-Panoan-1_macaxeiramandioca-1,,Proto-Panoan,1_macaxeiramandioca,ʔatsa,ʔatsa,ʔ a ts a,None,Oliveira2014,114,,,,ʔ a ts a,[],None,,§2,*ʔatsa ‘macaxeira;;  mandioca’,"['ʔ', 'a', 'ts', 'a']"
Kakataibo-1_macaxeiramandioca-1,,Kakataibo,1_macaxeiramandioca,ʔatsa,ʔatsa,ʔ a ts a,None,Oliveira2014,114,,,,ʔ a ts a,[],None,,§2,Ksh ʔatsa,"['ʔ', 'a', 'ts', 'a']"
ShipiboKonibo-1_macaxeiramandioca-1,,ShipiboKonibo,1_macaxeiramandioca,ʔatsa,ʔatsa,ʔ a ts a,None,Oliveira2014,114,,,,ʔ a ts a,[],None,,§2,SK ʔatsa ‘yuca’,"['ʔ', 'a', 'ts', 'a']"
Kapanawa-1_macaxeiramandioca-1,,Kapanawa,1_macaxeiramandioca,ʔatsa,ʔatsa,ʔ a ts a,None,Loos1998,114,,,,ʔ a ts a,[],None,,§2,Kp ʔatsa ‘yuca’ (LOOS; LOOS;; 1998),"['ʔ', 'a', 'ts', 'a']"
Marubo-1_macaxeiramandioca-1,,Marubo,1_macaxeiramandioca,atsa,atsa,a ts a,None,Oliveira2014,114,,,,- a ts a,[],None,,§2,Mar atsa,"['a', 'ts', 'a']"
Chakobo-1_macaxeiramandioca-1,,Chakobo,1_macaxeiramandioca,ʔatsa,ʔatsa,ʔ a ts a,None,Oliveira2014,114,,,,ʔ a ts a,[],None,,§2,Ch ʔatsa,"['ʔ', 'a', 'ts', 'a']"
Chaninawa-1_macaxeiramandioca-1,,Chaninawa,1_macaxeiramandioca,atsa,atsa,a ts a,None,Oliveira2014,114,,,,- a ts a,[],None,,§2,Chan atsa,"['a', 'ts', 'a']"
Shanenawa-1_macaxeiramandioca-1,,Shanenawa,1_macaxeiramandioca,atsa,atsa,a ts a,None,Oliveira2014,114,,,,- a ts a,[],None,,§2,Shan atsa,"['a', 'ts', 'a']"
Katukina-1_macaxeiramandioca-1,,Katukina,1_macaxeiramandioca,atsa,atsa,a ts a,None,Oliveira2014,114,,,,- a ts a,[],None,,§2,Kat atsa,"['a', 'ts', 'a']"
Poyanawa-1_macaxeiramandioca-1,,Poyanawa,1_macaxeiramandioca,atsa,atsa,a ts a,None,Oliveira2014,114,,,,- a ts a,[],None,,§2,Poy atsa,"['a', 'ts', 'a']"
Amawaka-1_macaxeiramandioca-1,,Amawaka,1_macaxeiramandioca,ʔatsa,ʔatsa,ʔ a ts a,None,Sparing2012,114,,,,ʔ a ts a,[],None,,§2,"A ʔatsa (CHÁVEZ;; 2012), Atsa I","['ʔ', 'a', 'ts', 'a']"
Amawaka-1_macaxeiramandioca-2,,Amawaka,1_macaxeiramandioca,Atsa_I,Atsa_I,a ts a,None,Oliveira2014,114,,,,- a ts a,[],None,,§2,"A ʔatsa (CHÁVEZ;; 2012), Atsa I","['a', 'ts', 'a']"
Kaxinawa-1_macaxeiramandioca-1,,Kaxinawa,1_macaxeiramandioca,atsa,atsa,a ts a,None,Oliveira2014,114,,,,- a ts a,[],None,,§2,Kn atsa,"['a', 'ts', 'a']"
Marinawa-1_macaxeiramandioca-1,,Marinawa,1_macaxeiramandioca,atsa,atsa,a ts a,palabra usada solo por algunos de los ancianos,Oliveira2014,114,,,,- a ts a,[],None,,§2,M atsa (palabra usada solo por algunos de los ancianos),"['a', 'ts', 'a']"
Yawanawa-1_macaxeiramandioca-1,,Yawanawa,1_macaxeiramandioca,atsa,atsa,a ts a,None,Oliveira2014,114,,,,- a ts a,[],None,,§2,Yaw atsa,"['a', 'ts', 'a']"
Korubo-1_macaxeiramandioca-1,,Korubo,1_macaxeiramandioca,Atsa,Atsa,a ts a,None,Oliveira2014,114,,,,- a ts a,[],None,,§2,Ko Atsa ‘nome próprio’,"['a', 'ts', 'a']"
Matis-1_macaxeiramandioca-1,,Matis,1_macaxeiramandioca,Atsa,Atsa,a ts a,None,Oliveira2014,114,,,,- a ts a,[],None,,§2,Mt Atsa ‘mandioca’,"['a', 'ts', 'a']"
Proto-Panoan-2_capivara-1,,Proto-Panoan,2_capivara,ʔamɨ[n],ʔamɨ[n],ʔ a m ɨ rⁿ,None,Oliveira2014,226,,,,ʔ a m ɨ rⁿ ( - ),[],None,,§3,*ʔamɨ[n] ‘capivara’,"['ʔ', 'a', 'm', 'ɨ', 'rⁿ']"
Kakataibo-2_capivara-1,,Kakataibo,2_capivara,ʔaˈmɨ̃,ʔaˈmɨ̃,ʔ a m ɨ ~,None,Oliveira2014,226,,,,ʔ a m ɨ ~ ( - ),[],None,,§3,Ksh ʔaˈmɨ̃,"['ʔ', 'a', 'm', 'ɨ', '~']"
ShipiboKonibo-2_capivara-1,,ShipiboKonibo,2_capivara,ʔaˈmɨ̃,ʔaˈmɨ̃,ʔ a m ɨ ~,None,Oliveira2014,226,,,,ʔ a m ɨ ~ ( - ),[],None,,§3,SK ʔaˈmɨ̃,"['ʔ', 'a', 'm', 'ɨ', '~']"
Kapanawa-2_capivara-1,,Kapanawa,2_capivara,ʔaˈmɨn,ʔaˈmɨn,ʔ a m ɨ n,None,Oliveira2014,226,,,,ʔ a m ɨ n ( - ),[],None,,§3,Kp ʔaˈmɨn,"['ʔ', 'a', 'm', 'ɨ', 'n']"
Marubo-2_capivara-1,,Marubo,2_capivara,amɨ,amɨ,a m ɨ,"MNTB- LOOS, s.d.",Oliveira2014,226,,,,- a m ɨ - ( - ),[],None,,§3,Mar amɨ (MNTB- LOOS;; s.d.),"['a', 'm', 'ɨ']"
Chakobo-2_capivara-1,,Chakobo,2_capivara,amɨno,amɨno,a m ɨ n o,None,Oliveira2014,226,,,,- a m ɨ n ( o ),[],None,,§3,"Ch amɨno, amɨ ‘la capyguara’","['a', 'm', 'ɨ', 'n', 'o']"
Chakobo-2_capivara-2,,Chakobo,2_capivara,amɨ,amɨ,a m !ɨ/ɨ n,None,Oliveira2014,226,,,,- a m !ɨ/ɨ n ( - ),[],None,,§3,"Ch amɨno, amɨ ‘la capyguara’","['a', 'm', '!ɨ/ɨ', 'n']"
Sharanawa-2_capivara-1,,Sharanawa,2_capivara,amɨn,amɨn,a m ɨ n,None,Oliveira2014,226,,,,- a m ɨ n ( - ),[],None,,§3,Shar amɨn,"['a', 'm', 'ɨ', 'n']"
Shanenawa-2_capivara-1,,Shanenawa,2_capivara,aman,aman,a m a n,None,Oliveira2014,226,,,,- a m a n ( - ),[],None,,§3,Shan aman,"['a', 'm', 'a', 'n']"
Katukina-2_capivara-1,,Katukina,2_capivara,amɨn,amɨn,a m ɨ n,None,Oliveira2014,226,,,,- a m ɨ n ( - ),[],None,,§3,Kat amɨn,"['a', 'm', 'ɨ', 'n']"
Amawaka-2_capivara-1,,Amawaka,2_capivara,ʔamɨn,ʔamɨn,ʔ a m ɨ n,None,Hyde1980,226,,,,ʔ a m ɨ n ( - ),[],None,,§3,A ʔamɨn (HYDE;; 1980),"['ʔ', 'a', 'm', 'ɨ', 'n']"
Kaxinawa-2_capivara-1,,Kaxinawa,2_capivara,amɨ̃,amɨ̃,a m ɨ ~,None,Oliveira2014,226,,,,- a m ɨ ~ ( - ),[],None,,§3,Kn amɨ̃,"['a', 'm', 'ɨ', '~']"
Marinawa-2_capivara-1,,Marinawa,2_capivara,ˈamɨ̃,ˈamɨ̃,!/ʔ a m ɨ ~,None,Oliveira2014,226,,,,!/ʔ a m ɨ ~ ( - ),[],None,,§3,"M ˈamɨ̃ , ˈʔamɨno ‘capibara’","['!/ʔ', 'a', 'm', 'ɨ', '~']"
