ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,NameInSource,Sources
Kakataibo,Kakataibo,cash1251,Cashibo-Cacataibo,cbr,South America,-8.70232,-75.4206,Pano-Tacanan,,
ShipiboKonibo,ShipiboKonibo,ship1254,Shipibo-Conibo,shp,South America,-7.17105,-74.8219,Pano-Tacanan,,
Kapanawa,Kapanawa,capa1241,Capanahua,kaq,South America,-6.63254,-74.3813,Pano-Tacanan,,
Marubo,Marúbo,maru1252,Marúbo,mzr,South America,-6.60703,-72.4027,Pano-Tacanan,,
Chakobo,Chákobo,chac1251,Chácobo,cao,South America,-12.133,-66.7164,Pano-Tacanan,,
Kaxarari,Kaxararí,kaxa1239,Kaxararí,ktx,South America,-9.47288,-66.3329,Pano-Tacanan,,
Yaminawa,Yamináwa,yami1256,Yaminahua,yaa,South America,-9.8846,-71.5964,Pano-Tacanan,,
Chaninawa,Chanináwa,shan1283,Shanenawa,swo,South America,-8.00919,-73.3264,Pano-Tacanan,,
Sharanawa,Sharanáwa,shar1245,Sharanahua,mcd,South America,-9.8626,-71.1232,Pano-Tacanan,,
Shanenawa,Shanenáwa,shan1283,Shanenawa,swo,South America,-8.00919,-73.3264,Pano-Tacanan,,
Katukina,Katukina,pano1254,Panoan Katukína,knt,South America,-7.97456,-71.56151,Pano-Tacanan,,
Poyanawa,Poyanáwa,poya1241,Poyanáwa,pyn,South America,-7.46909,-73.0758,Pano-Tacanan,,
Amawaka,Amawáka,amah1246,Amahuaca,amc,South America,-10.2012,-72.3208,Pano-Tacanan,,
Kaxinawa,Kaxinawá,cash1254,Cashinahua,cbs,South America,-9.72027,-71.1733,Pano-Tacanan,,
Marinawa,Marináwa,mari1443,Marinahua,,South America,,,Pano-Tacanan,,
Yawanawa,Yawanawá,yawa1260,Yawanawa,ywn,South America,-8.87563,-71.8199,Pano-Tacanan,,
Korubo,Korúbo,koru1247,Korubo,xor,South America,-5.3655,-70.5094,Pano-Tacanan,,
Matis,Matís,mati1255,Matís,mpq,South America,-4.3553,-70.2079,Pano-Tacanan,,
Mayoruna,Mayorúna,mats1244,Matsés,mcf,South America,-5.73914,-72.6281,Pano-Tacanan,,
Proto-Panoan,Proto-Panoan,,,,,,,,,
