ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	COGIDS	ALIGNMENT	AUTOCOGID
174	Proto-Panoan	I	ʔɨ	ʔɨ	ʔ ɨ	None	13		['ʔ', 'ɨ']	1
175	Kakataibo	I	ʔɨ-	ʔɨ-	ʔ ɨ	None	13		['ʔ', 'ɨ']	1
176	ShipiboKonibo	I	ʔɨ-	ʔɨ-	ʔ ɨ	None	13		['ʔ', 'ɨ']	1
177	Kapanawa	I	ʔɨ-	ʔɨ-	ʔ ɨ	None	13		['ʔ', 'ɨ']	1
178	Chakobo	I	ɨ	ɨ	ɨ	None	13		['-', 'ɨ']	1
179	Amawaka	I	ɨ-	ɨ-	ɨ	None	13		['-', 'ɨ']	1
180	Kaxinawa	I	ɨ-	ɨ-	ɨ	None	13		['-', 'ɨ']	1
181	Marinawa	I	ɨ	ɨ	ɨ	None	13		['-', 'ɨ']	1
3886	Proto-Panoan	abandoned rock	[n]awɨ	[n]awɨ	rⁿ a w ɨ	None	190		['rⁿ', 'a', 'w', 'ɨ']	2
3887	Kakataibo	abandoned rock	naɨ	naɨ	n a ɨ	None	190		['n', 'a', '-', 'ɨ']	2
3888	ShipiboKonibo	abandoned rock	náwɨ	náwɨ	n !á/a w ɨ	None	190		['n', '!á/a', 'w', 'ɨ']	2
3889	ShipiboKonibo	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190		['n', 'a', 'w', 'ɨ']	2
3890	ShipiboKonibo	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190		['n', 'a', 'w', 'ɨ']	2
3891	Kapanawa	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190		['n', 'a', 'w', 'ɨ']	2
3892	Chakobo	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190		['n', 'a', 'w', 'ɨ']	2
3893	Sharanawa	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190		['n', 'a', 'w', 'ɨ']	2
3894	Amawaka	abandoned rock	naɨ_I	naɨ_I	n a ɨ	None	190		['n', 'a', '-', 'ɨ']	2
3895	Kaxinawa	abandoned rock	nawɨ-	nawɨ-	n a w ɨ	None	190		['n', 'a', 'w', 'ɨ']	2
3896	Marinawa	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190		['n', 'a', 'w', 'ɨ']	2
3897	Yawanawa	abandoned rock	nauɨ	nauɨ	n a w ɨ	None	190		['n', 'a', 'w', 'ɨ']	2
