ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT
174	Proto-Panoan	I	ʔɨ	ʔɨ	ʔ ɨ	None	13	ʔ ɨ
175	Kakataibo	I	ʔɨ-	ʔɨ-	ʔ ɨ	None	13	ʔ ɨ
176	ShipiboKonibo	I	ʔɨ-	ʔɨ-	ʔ ɨ	None	13	ʔ ɨ
177	Kapanawa	I	ʔɨ-	ʔɨ-	ʔ ɨ	None	13	ʔ ɨ
178	Chakobo	I	ɨ	ɨ	ɨ	None	13	- ɨ
179	Amawaka	I	ɨ-	ɨ-	ɨ	None	13	- ɨ
180	Kaxinawa	I	ɨ-	ɨ-	ɨ	None	13	- ɨ
181	Marinawa	I	ɨ	ɨ	ɨ	None	13	- ɨ
3886	Proto-Panoan	abandoned rock	[n]awɨ	[n]awɨ	rⁿ a w ɨ	None	190	rⁿ a w ɨ
3887	Kakataibo	abandoned rock	naɨ	naɨ	n a ɨ	None	190	n a - ɨ
3888	ShipiboKonibo	abandoned rock	náwɨ	náwɨ	n !á/a w ɨ	None	190	n !á/a w ɨ
3889	ShipiboKonibo	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ
3890	ShipiboKonibo	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ
3891	Kapanawa	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ
3892	Chakobo	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ
3893	Sharanawa	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ
3894	Amawaka	abandoned rock	naɨ_I	naɨ_I	n a ɨ	None	190	n a - ɨ
3895	Kaxinawa	abandoned rock	nawɨ-	nawɨ-	n a w ɨ	None	190	n a w ɨ
3896	Marinawa	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ
3897	Yawanawa	abandoned rock	nauɨ	nauɨ	n a w ɨ	None	190	n a w ɨ
3898	Matis	abandoned rock	nawɨ	nawɨ	n a w ɨ	None	190	n a w ɨ
5414	Katukina	abandoned rock	ɾumɨ	ɾumɨ	ɾ u m ɨ	None	308	ɾ u m ɨ ( - )
3177	Proto-Panoan	above	ma[n]a[n]	ma[n]a[n]	m a rⁿ a rⁿ	None	132	m a rⁿ ( - ) a rⁿ ( - - - - )
3178	Kakataibo	above	manã́	manã́	m a n !ã́/ã	None	132	m a n ( - ) !ã́/ã - ( - - - - )
3179	ShipiboKonibo	above	manã́	manã́	m a n !ã́/ã	None	132	m a n ( - ) !ã́/ã - ( - - - - )
3181	Kapanawa	above	manán	manán	m a n !á/a n	None	132	m a n ( - ) !á/a n ( - - - - )
3182	Chakobo	above	mana	mana	m a n a	None	132	m a n ( - ) a - ( - - - - )
3183	Yaminawa	above	manaõ	manaõ	m a n a õ	None	132	m a n ( - ) a - ( - õ - - )
3184	Yaminawa	above	manã	manã	m a n ã	None	132	m a n ( - ) ã - ( - - - - )
3186	Sharanawa	above	mananun	mananun	m a n a n u n	None	132	m a n ( - ) a n ( u n - - )
