ID	Name	NameInSource	Glottocode	Sources
Kakataibo	Kakataibo	Ksh	cash1251	Shell1975,Shell1987,Zariquiey2011
ShipiboKonibo	ShipiboKonibo	SK	ship1254	Shell1975,Valenzuela2003,Loriot1993
Kapanawa	Kapanawa	Kp	capa1241	Shell1975,Loos1998
Marubo	Marúbo	Mar	maru1252	Cesarino2008,Costa2000,Costa1992,Cabral2009,mntb
Chakobo	Chákobo	Ch	chac1251	Shell1975,Cordoba2012,Zingg1998
Kaxarari	Kaxararí	Kax	kaxa1239	Beksta1977,Lanes2005,Pickering1973,Sousa2004,Couto2005,Valenzuela2012
Yaminawa	Yamináwa	Yam	yami1256	Faust2002,Eakin2008,Cabral2009
Chaninawa	Chanináwa	Chan	shan1283	Valenzuela2001
Sharanawa	Sharanáwa	Shar	shar1245	Scott2004
Shanenawa	Shanenáwa	Shan	shan1283	Candido1998,Candido2004
Katukina	Katukina	Kat	pano1254	Aguiar1994,Barros1987,Mendes1996,Cabral2009
Poyanawa	Poyanáwa	Poy	poya1241	Paula1992
Amawaka	Amawáka	A	amah1246	Shell1975,Hyde1980,Osborn1948,Sparing2012
Kaxinawa	Kaxinawá	Kn	cash1254	Shell1975,Montag1981a,Montag1981b,Montag2008
Marinawa	Marináwa	M	mari1443	Shell1975
Yawanawa	Yawanawá	Yaw	yawa1260	Paula2004,Cabral2009,Souza2013
Korubo	Korúbo	Ko	koru1247	Oliveira2012
Matis	Matís	Mt	mati1255	Ferreira2005,Spanghero2005
Mayoruna	Mayorúna	My	mats1244	Fleck2003,Fleck2010,Fleck2012
Proto-Panoan	Proto-Panoan	Proto		Oliveira2014
