Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^	NULL				
$	NULL				
a	a	ʔatsa, ɨɸa-pa_ɨɸa-panã	Kapanawa, Chakobo, Amawaka, ShipiboKonibo, Sharanawa, Yaminawa, Kakataibo, Katukina, Kaxarari, Yawanawa, Shanenawa, Marubo, Marinawa, Korubo, Chaninawa, MattisList, Mayoruna, Kaxinawa	100	U+0061
i	i	ʔia, awin	Chakobo, Kapanawa, ShipiboKonibo, Kakataibo, Amawaka, MattisList, Sharanawa, Mayoruna, Katukina, Yawanawa, Shanenawa, Kaxinawa, Yaminawa, Korubo, Kaxarari, Marinawa, Poyanawa	100	U+0069
a$	a	ia, atsa	Chakobo, Kaxinawa, ShipiboKonibo, Kapanawa, Yawanawa, Sharanawa, Amawaka, Shanenawa, Yaminawa, Kakataibo, Marinawa, Chaninawa, Marubo, Poyanawa, Katukina, MattisList, Kaxarari, Mayoruna, Korubo	100	U+0061 U+0024
n	n	ʔano, ano	Amawaka, Sharanawa, Chakobo, Yaminawa, Kapanawa, ShipiboKonibo, Kakataibo, Kaxinawa, Marinawa, Shanenawa, Katukina, Marubo, Yawanawa, MattisList, Mayoruna, Korubo, Chaninawa, Kaxarari	100	U+006e
ɨ	ɨ	awɨn, βɨta	Sharanawa, Chakobo, Amawaka, Yawanawa, Marubo, Korubo, ShipiboKonibo, Kapanawa, Kakataibo, Katukina, Shanenawa, Chaninawa, MattisList, Yaminawa, Kaxinawa, Marinawa, Mayoruna, Kaxarari	100	U+0268
o	o	ʔoko-, ʔoʂa-	Amawaka, ShipiboKonibo, Sharanawa, Kapanawa, Kakataibo, Chakobo, Mayoruna, Chaninawa, Yaminawa, Marinawa, MattisList, Korubo	100	U+006f
i$	i	oi, iwi	Katukina, Sharanawa, Chakobo, ShipiboKonibo, Chaninawa, Kaxarari, Kapanawa, Kakataibo, Yaminawa, Kaxinawa, Marubo, Marinawa, Yawanawa, Shanenawa, Amawaka, MattisList, Mayoruna	100	U+0069 U+0024
-	<?>	a-, ak-	Chakobo, Kakataibo, Kaxinawa, Amawaka, ShipiboKonibo, Kapanawa, Yaminawa, MattisList, Marubo, Marinawa, Chaninawa, Katukina, Sharanawa, Korubo, Yawanawa, Shanenawa, Kaxarari, Mayoruna	100	U+002d
k	k	ʔisko, haka	Amawaka, Chakobo, Marubo, Kaxinawa, Kapanawa, Kakataibo, ShipiboKonibo, Katukina, MattisList, Sharanawa, Marinawa, Shanenawa, Yaminawa, Mayoruna, Chaninawa, Yawanawa, Korubo	100	U+006b
t	t	βata, ato	Kakataibo, Marinawa, Sharanawa, ShipiboKonibo, Amawaka, Chakobo, Kaxinawa, Shanenawa, Kapanawa, Yawanawa, Marubo, Katukina, Chaninawa, Yaminawa, Korubo, MattisList, Mayoruna, Kaxarari, Poyanawa	100	U+0074
_	_	arrugas_en_la_frente, los_shipibo_consideran_que	Amawaka, Mayoruna, Kakataibo, Yaminawa, Marinawa, Chaninawa, Chakobo, Sharanawa, Marubo, ShipiboKonibo, Kapanawa, Kaxarari, Kaxinawa, Poyanawa, Korubo	100	U+005f
o$	o	ato, ʔano	ShipiboKonibo, Chakobo, Kapanawa, Kakataibo, Sharanawa, Marinawa, Marubo, Amawaka, Yaminawa, Mayoruna, Chaninawa, Katukina, MattisList, Korubo	100	U+006f U+0024
