NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	PROTO_ID	PROTO_CONCEPT
2	fazer,  matar	1417	KILL	§1	1
22	macaxeira,  mandioca	925	CASSAVA	§2	1
43	capivara	314	CAPYBARA	§3	1
65	grande	1202	BIG	§4	1
88	paca (Cuniculus paca)	316	PACA	§5	1
111	sufixo de concordância do intransitivo			§6	1
119	tipo de veneno			§7	1
141	anta (Tapirus terrestris)	312	TAPIR	§8	1
165	mulher,  esposa	962	WOMAN	§9	1
191	mulher,  esposa	962	WOMAN	§9a	1
196	tragar			§10	1
218	yo			§11	1
225	grande	1202	BIG	§12	1
254	piolho	1392	LOUSE	§13	1
275	lago	624	LAKE	§14	1
300	dono			§15	1
321	esp. de pásaro			§16	1
344	quente,  calor	1286	HOT	§17	1
368	abraçar,  segurar nos braços	928	EMBRACE	§18	1
389	seguir llevando en los brazos (provavelmente uma reduplicação do verbo em 18.)			§18a	1
395	subir	705	GO UP (ASCEND)	§18b	1
417	criação,  animal doméstico			§19	1
443	dar	1447	GIVE	§20	1
467	esp. de onça			§21	1
491	esp. de peixe (esp. da fam. Loricariidae)			§22	1
512	dor,  doer	1783	PAIN	§23	1
538	japu (esp. de pássaro da fam. Icteridae)			§24	1
558	macaco preto (esp. de macaco da fam Atelidae)			§25	1
580	correr	1519	RUN	§26	1
602	muito	1198	MANY	§27	1
624	urubu rei			§28	1
646	pesado	1210	HEAVY	§29	1
668	arraia	1910	STINGRAY	§30	1
694	esp. de carrapato			§31	1
720	chuva	658	RAIN (PRECIPITATION)	§32	1
745	olhar	1819	LOOK	§33	1
768	tossir	879	COUGH	§34	1
791	conhecer,  aprender	504	LEARN	§35	1
813	água fresca (lit. líquido novo)			§36	1
836	rir	1355	LAUGH	§37	1
857	dormir	1585	SLEEP	§38	1
880	lua	1313	MOON	§39	1
906	sombra	1388	SHADE	§40	1
929	chupar,  sugar	1421	SUCK	§41	1
950	ele,  esse	1211	HE	§42	1
979	correr,  fugir	1519	RUN	§43	1
1000	esp. de garça			§44	1
1021	pisar			§45	1
1043	língua	1205	TONGUE	§46	1
1063	vomitar	1278	VOMIT	§47	1
1083	nome	1405	NAME	§48	1
1105	mutum (da esp. da fam. Cracidae)	315	CURASSOW	§49	1
1129	abertura			§50	1
1150	esse tanto			§51	1
1175	3a pessoa do plural			§52	1
1196	que,  o que			§53	1
1222	seu, sua, dele,  dela	2274	YOUR (PLURAL)	§54	1
1243	caminho,  picada	2252	PATH	§55	1
1264	noite,  escuro	1233	NIGHT	§56	1
1285	tela			§57	1
1304	roçado	429	SWIDDEN FIELD	§58	1
1326	filho,  criança	1304	CHILD (YOUNG HUMAN)	§59	1
1348	espuma	1768	FOAM	§60	1
1369	plantar	1486	PLANT (SOMETHING)	§61	1
1394	sol	1343	SUN	§62	1
1415	ovo	744	EGG	§63	1
1436	cochichar	55	WHISPER	§64	1
1458	doce	717	SWEET	§65	1
1478	esp. de peixe			§66	1
1500	papagaio (esp. da fam. Psittacidae)	882	PARROT	§67	1
1522	surubim (Pseudoplatyatoma coruscans)			§68	1
1545	trazer, buscar	692	BRING	§69	1
1567	comitativo			§70	1
1600	comitativo			§71	1
1620	esquecer,  perder	1523	FORGET	§72	1
1641	lágrima	1651	TEAR (OF EYE)	§73	1
1664	ondas			§74	1
1686	testa,  cara	123	FOREHEAD	§75	1
1711	marido,  macho	1200	HUSBAND	§76	1
1733	varón (probablemente *βɨnɨ + -βo,  juego 77 y 96)			§77	1
1753	esp. de árvore (segundo SHELL (1975 [1965]) Savia Pegajosa) (da fam. Phyllanthaceae)			§78	1
1778	olho	1248	EYE	§79	1
1802	cortar	1432	CUT	§80	1
1823	sobrancelhas (?)	1173	EYEBROW	§81	1
1844	sobrancelhas	1173	EYEBROW	§82	1
1867	esp. de sapo			§83	1
1888	fino,  raso	2308	THIN	§84	1
1911	sopa,  caldo			§85	1
1931	rosto,  cara (prefixo parte do corpo)	1560	FACE	§86	1
1952	pegar	855	SEIZE	§87	1
1974	pele,  couro	763	SKIN	§88	1
1996	esp.degarça			§89	1
2017	carapanã			§90	1
2040	fruto			§91	1
2062	marimbondo,  caba			§92	1
2083	buriti (Mauritia vinifera Mart.)			§93	1
2103	goiaba(?)			§94	1
2125	pluralizador			§95	1
2145	esp. de picapau (da fam. Picidae)			§96	1
2167	tipo de caixa			§97	1
2187	esp. de palmeira			§98	1
2209	toco,  tronco	241	TREE STUMP	§99	1
2231	esp. de peixe (da fam. Pimelodidae)			§100	1
2252	esp. de peixe (da fam. Pimelodidae)			§101	1
2274	esp. de árvore (embaúba?)			§102	1
2297	esp. de árvore (embaúba?)			§103	1
2299	esp. de abelha			§104	1
2321	pelo,  cabelo	2648	HAIR (HEAD)	§105	1
2347	insecto			§106	1
2367	esp. de lontra			§107	1
2388	cabeça	1256	HEAD	§108	1
2413	sentar (sentar-se)	1416	SIT	§109	1
2439	esp. de peixe			§110	1
2461	soluço,  soluçar	162	HICCOUGH	§111	1
2482	cigarra	2353	CICADA	§112	1
2503	carvão,  brasa	2658	COAL	§113	1
2526	carvão,  brasa	2658	COAL	§114	1
2530	quem	1235	WHO	§115	1
2554	pegar,  agarrar com a mão	855	SEIZE	§116	1
2577	picar, dar agulhada, ferrar, injetar, furar	398	PIERCE	§117	1
2599	amassar, bater,  golpear	274	KNEAD	§118	1
2619	mentir	601	LIE (MISLEAD)	§119	1
2639	esp.demolusco			§120	1
2660	grilo,  gafanhoto	607	GRASSHOPPER	§121	1
2680	martim pescardor			§122	1
2701	esp. de veado			§123	1
2722	fogo	221	FIRE	§124	1
2745	cinza (lit. pó (poeira) de fogo)			§125	1
2769	guiar (uma canoa) por trás			§126	1
2789	parte posterior			§127	1
2813	lavar,  lavar-se	1453	WASH	§128	1
2836	tela,  roupa	1895	CLOTHES	§129	1
2856	duro,  forte	1884	HARD	§130	1
2876	líquido,  água	948	WATER	§131	1
2899	tigre de agua, nutria			§132	1
2924	deixar,  largar			§133	1
2944	esp. de palmeira			§134	1
2964	bilhar,  queimar	2102	BURN	§135	1
2988	semente	714	SEED	§136	1
3011	entrar	749	ENTER	§137	1
3033	esp. de formiga			§138	1
3057	esp. de formiga			§139	1
3080	sangue	946	BLOOD	§140	1
3102	rabo	1220	TAIL	§141	1
3123	ver,  olhar	1409	SEE	§142	1
3144	ver,  olhar	1409	SEE	§143	1
3167	urinar,  urina	592	PISS	§144	1
3189	esp. de árvore e também seu fruto (segundo SHELL (1975 [1965]),  seria o Zapote)			§145	1
3210	árvore (gen.),  pau (gen.)	906	TREE	§146	1
3232	ouvir, escutar,  entender	1408	HEAR	§147	1
3253	borda,  lábios	478	LIP	§148	1
3273	jacu (esp. de pássaro)	437	GUAN	§149	1
3293	desejar			§150	1
3315	chamar	1084	CALL	§151	1
3336	tipo de banco			§152	1
3358	desenhar,  pintar	3194	PAINT (SOMETHING) OR PAINTING	§153	1
3380	barba	678	BEARD	§154	1
3403	ponta,  extremo			§155	1
3431	ensartar			§156	1
3453	lábios	478	LIP	§157	1
3477	barba	678	BEARD	§158	1
3499	esp. de arara			§159	1
3522	costas	1291	BACK	§160	1
3544	parente			§161	1
3566	tipo de cesto			§162	1
3587	abacaxi	2440	PINEAPPLE	§163	1
3612	onça	1250	JAGUAR	§164	1
3639	esp. de cobra			§165	1
3660	esp. de arara			§166	1
3681	relâmpago	1654	LIGHTNING	§167	1
3702	arco	994	BOW	§168	1
3723	quatipuru			§169	1
3744	jacaré	2438	CAIMAN	§170	1
3769	cará			§171	1
3790	lenha	10	FIREWOOD	§172	1
3811	querer	1784	WANT	§173	1
3847	morcego	1793	BAT	§174	1
3873	costas (prefixo parte do corpo)	1291	BACK	§175	1
3896	costurar	1457	SEW	§176	1
3917	vasilha,  prato	480	PLATE	§177	1
3938	duro,  forte	1884	HARD	§178	1
3961	pedaço,  caco			§179	1
3985	grosso,  espesso	1244	THICK	§180	1
4005	tipo de panela			§181	1
4029	terminar,  acabar	1766	FINISH	§182	1
4052	sufixo locativo ablativo			§183	1
4074	buraco,  orifício	1667	HOLE	§184	1
4096	coxa	471	UPPER LEG (THIGH)	§185	1
4118	fumaça	778	SMOKE (EXHAUST)	§186	1
4143	ferver	792	BOIL (OF LIQUID)	§187	1
4164	mandíbula			§188	1
4188	irmão da mãe			§189	1
4210	vaga-lume	206	FIREFLY	§190	1
4233	irmão da mãe			§191	1
4253	ingerir alimentos moles			§192	1
4275	ingerir alimentos moles			§193	1
4278	nambu			§194	1
4299	esp. de fungo			§195	1
4321	pus	1808	PUS	§196	1
4343	valor			§197	1
4367	cinza,  acinzentado	646	ASH	§198	1
4389	cedro			§199	1
4410	cujubim			§200	1
4431	sufixo verbal causativo			§201	1
4451	morro,  colina			§202	1
4472	esp. de peixe			§203	1
4492	frio	1287	COLD	§204	1
4513	varrer	230	SWEEP	§205	1
4534	chifre de animal			§206	1
4554	terra	1228	EARTH (SOIL)	§207	1
4576	na terra,  por terra			§208	1
4595	enterrar	1719	BURY	§209a	1
4605	faixa para a cabeça,  chapéu			§209	1
4626	rato	1490	RAT	§210	1
4646	pedra,  rocha	857	STONE	§211	1
4669	piranha (esp. de peixe)	317	PIRANHA	§212	1
4693	esperar			§213	1
4714	sobre, encima,  acima	57	ATOP	§214	1
4736	metal			§215	1
4755	banana	868	BANANA	§216	1
4780	sentir saudade			§217	1
