OLD	NEW
com,  empossede	com, em posse de
esp.deplanta	esp. de planta
esp.demosca	esp. de mosca
esp.demacaco	esp. de macaco
esp.derãousapo	esp. de rã ou sapo
esp.depeixe	esp. de peixe
esp. depeixe	esp. de peixe
esp.degarça	esp. de garça
esp.demolusco	esp. de molusco
tipodecesto	tipo de cesto
seguir llevando en los brazos (provavelmente uma reduplicação do verbo em 18.)	seguir llevando en los brazos
canadeaçúcar(?)	cana de açúcar
bolsapequena(?)	bolsa pequena
ouvido (provavelmente paβi (orelha) + n (gen.) + kini (buraco) = buraco da orelha)	ouvido
esp. de pássaro (Shell (1975 [1965] o descreve como shansho)	esp. de pássaro
esp. de árvore e também seu fruto (segundo SHELL (1975 [1965]), seria o Zapote)	esp. de árvore e também seu fruto
goiaba(?)	goiaba
rosto, cara (prefixo parte do corpo)	rosto, cara
sobrancelhas (?)	sobrancelhas
varón (probablemente *βɨnɨ + -βo, juego 77 y 96)	varón
esp. de árvore (segundo SHELL (1975 [1965]) Savia Pegajosa) (da fam. Phyllanthaceae)	esp. de árvore (da fam. Phyllanthaceae)
com, empossede	com, em posse de
