ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	VALUE	TOKENS	MORPHEMES	COMMENT	SOURCE	PROTO_SET	ENTRY_IN_SOURCE	CONCEPT_IN_SOURCE	UNCERTAIN_COGNACY
1	ʔ a k	1		to make, to kill	Proto-Panoan	ʔak-		ʔ a k		None	Oliveira2014	§1	*ʔak- ‘fazer;;  matar’		None
2	ʔ a -	1		to make, to kill	Kakataibo	ʔa-		ʔ a		None		§1	Ksh ʔa-		None
3	ʔ a -	1		to make, to kill	ShipiboKonibo	ʔa-		ʔ a		None		§1	SK ʔa-		None
4	ʔ a -	1		to make, to kill	Kapanawa	ʔa-		ʔ a		None		§1	Kp ʔa-		None
5	- a -	1		to make, to kill	Marubo	a-		a		None		§1	Mar a-		None
6	ʔ a -	1		to make, to kill	Chakobo	ʔa-		ʔ a		None		§1	Ch ʔa-		None
7	- a -	1		to make, to kill	Kaxarari	a-		a		None		§1	Kax a-		None
8	- a k	1		to make, to kill	Yaminawa	ak-		a k		None		§1	Yam ak-		None
9	- a -	1		to make, to kill	Chaninawa	a-		a		None		§1	Chan a-		None
10	- a -	1		to make, to kill	Sharanawa	a-		a		None		§1	Shar a-		None
11	ʔ a -	1		to make, to kill	Amawaka	ʔa-		ʔ a		None	Sparing2012	§1	A ʔa- (CHÁVEZ;; 2012)		None
12	- a -	1		to make, to kill	Kaxinawa	a-		a		None		§1	Kn a-		None
13	- a -	1		to make, to kill	Marinawa	a-		a		None		§1	M a-		None
14	- a k	1		to make, to kill	Korubo	ak-		a k		None		§1	Ko ak-		None
15	- a k	1		to make, to kill	Matis	ak-		a k		None		§1	Mt ak-		None
16	- a k	1		to make, to kill	Mayoruna	ak-		a k		None		§1	My ak-		None
17	ʔ a ts a	114		manioc, cassava	Proto-Panoan	ʔatsa		ʔ a ts a		None	Oliveira2014	§2	*ʔatsa ‘macaxeira;;  mandioca’		None
18	ʔ a ts a	114		manioc, cassava	Kakataibo	ʔatsa		ʔ a ts a		None		§2	Ksh ʔatsa		None
19	ʔ a ts a	114		manioc, cassava	ShipiboKonibo	ʔatsa		ʔ a ts a		None		§2	SK ʔatsa ‘yuca’		None
20	ʔ a ts a	114		manioc, cassava	Kapanawa	ʔatsa		ʔ a ts a		None	Loos1998	§2	Kp ʔatsa ‘yuca’ (LOOS; LOOS;; 1998)		None
21	- a ts a	114		manioc, cassava	Marubo	atsa		a ts a		None		§2	Mar atsa		None
22	ʔ a ts a	114		manioc, cassava	Chakobo	ʔatsa		ʔ a ts a		None		§2	Ch ʔatsa		None
23	- a ts a	114		manioc, cassava	Chaninawa	atsa		a ts a		None		§2	Chan atsa		None
24	- a ts a	114		manioc, cassava	Shanenawa	atsa		a ts a		None		§2	Shan atsa		None
25	- a ts a	114		manioc, cassava	Katukina	atsa		a ts a		None		§2	Kat atsa		None
26	- a ts a	114		manioc, cassava	Poyanawa	atsa		a ts a		None		§2	Poy atsa		None
27	ʔ a ts a	114		manioc, cassava	Amawaka	ʔatsa		ʔ a ts a		None	Sparing2012	§2	A ʔatsa (CHÁVEZ;; 2012), Atsa I		None
28	- a ts a	114		manioc, cassava	Amawaka	Atsa_I		a ts a		None		§2	A ʔatsa (CHÁVEZ;; 2012), Atsa I		None
29	- a ts a	114		manioc, cassava	Kaxinawa	atsa		a ts a		None		§2	Kn atsa		None
30	- a ts a	114		manioc, cassava	Marinawa	atsa		a ts a		palabra usada solo por algunos de los ancianos		§2	M atsa (palabra usada solo por algunos de los ancianos)		None
31	- a ts a	114		manioc, cassava	Yawanawa	atsa		a ts a		None		§2	Yaw atsa		None
32	- a ts a	114		manioc, cassava	Korubo	Atsa		a ts a		None		§2	Ko Atsa ‘nome próprio’		None
33	- a ts a	114		manioc, cassava	Matis	Atsa		a ts a		None		§2	Mt Atsa ‘mandioca’		None
34	ʔ a m ɨ rⁿ ( - - )	226	3	cabybara	Proto-Panoan	ʔamɨ[n]		ʔ a m ɨ rⁿ		None	Oliveira2014	§3	*ʔamɨ[n] ‘capivara’		None
35	ʔ a m ɨ̃ - ( - - )	226	3	cabybara	Kakataibo	ʔaˈmɨ̃		ʔ a m ɨ̃		None		§3	Ksh ʔaˈmɨ̃		None
36	ʔ a m ɨ̃ - ( - - )	226	3	cabybara	ShipiboKonibo	ʔaˈmɨ̃		ʔ a m ɨ̃		None		§3	SK ʔaˈmɨ̃		None
37	ʔ a m ɨ n ( - - )	226	3	cabybara	Kapanawa	ʔaˈmɨn		ʔ a m ɨ n		None		§3	Kp ʔaˈmɨn		None
38	- a m ɨ - ( - - )	226	3	cabybara	Marubo	amɨ		a m ɨ		MNTB- LOOS, s.d.		§3	Mar amɨ (MNTB- LOOS;; s.d.)		None
39	- a m ɨ - ( n o )	226	3	cabybara	Chakobo	amɨno		a m ɨ n o		None		§3	Ch amɨno, amɨ ‘la capyguara’		None
40	- a m ɨ - ( - - )	226	3	cabybara	Chakobo	amɨ		a m ɨ		None		§3	Ch amɨno, amɨ ‘la capyguara’		None
41	- a m ɨ n ( - - )	226	3	cabybara	Sharanawa	amɨn		a m ɨ n		None		§3	Shar amɨn		None
42	- a m a n ( - - )	226	3	cabybara	Shanenawa	aman		a m a n		None		§3	Shan aman		None
43	- a m ɨ n ( - - )	226	3	cabybara	Katukina	amɨn		a m ɨ n		None		§3	Kat amɨn		None
44	ʔ a m ɨ n ( - - )	226	3	cabybara	Amawaka	ʔamɨn		ʔ a m ɨ n		None	Hyde1980	§3	A ʔamɨn (HYDE;; 1980)		None
45	- a m ɨ̃ - ( - - )	226		cabybara	Kaxinawa	amɨ̃		a m ɨ̃		None		§3	Kn amɨ̃		None
46	- a m ɨ̃ - ( - - )	226	3	cabybara	Marinawa	ˈamɨ̃		a m ɨ̃		None		§3	M ˈamɨ̃ , ˈʔamɨno ‘capibara’		None
47	ʔ a m ɨ - ( n o )	226		cabybara	Marinawa	ˈʔamɨno		ʔ a m ɨ n o		None		§3	M ˈamɨ̃ , ˈʔamɨno ‘capibara’		None
48	- a m a n ( - - )	226		cabybara	Yawanawa	aman		a m a n		None		§3	Yaw aman		None
49	( - - - - - ) ʔ a n i ( - - - - - - )	336		big	Proto-Panoan	ʔani		ʔ a n i		None	Oliveira2014	§4	*ʔani ‘grande’		None
50	( - - - - - ) ʔ a n i ( - - - - - - )	336		cabybara	Kakataibo	ʔani		ʔ a n i		None	Zariquiey2011	§4	Ksh ʔani (ZARIQUIEY;; 2011)		None
51	( - - - - - ) ʔ a n i ( - - - - - - )	336		big	ShipiboKonibo	ʔani		ʔ a n i		None		§4	SK ʔani		None
52	( - - - - - ) ʔ a n i ( - - - - - - )	336		big	Kapanawa	ʔani		ʔ a n i		None		§4	Kp ʔani ‘grande’, wɨˈan ʔani ‘arroyo grande’		None
